run_1,run_2,run_3,run_4,run_5
0.31,0.36,0.32,0.31,0.33
0.77,0.62,0.57,0.81,0.57
1.09,1.40,1.21,1.35,1.45
2.64,3.14,3.68,2.96,3.36
8.52,9.34,9.01,9.57,8.01
