run_1,run_2,run_3,run_4,run_5
0.88,0.89,0.88,0.88,0.89
0.44,0.44,0.44,0.44,0.44
0.25,0.24,0.24,0.24,0.24
0.25,0.25,0.27,0.25,0.25
0.26,0.26,0.26,0.26,0.27
