run_1,run_2,run_3,run_4,run_5
0.25,0.25,0.24,0.24,0.24
0.17,0.17,0.17,0.17,0.17
0.13,0.13,0.13,0.12,0.13
0.11,0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11,0.11
