thread_total,run_index,total_time_seconds
1,1,.000891165
1,2,.000818040
1,3,.000852832
1,4,.001102456
1,5,.000941665
2,1,.000884789
2,2,.000802915
2,3,.000752290
2,4,.000857665
2,5,.001006123
4,1,.000772290
4,2,.000993581
4,3,.000741540
4,4,.000836665
4,5,.000964748
8,1,.000899790
8,2,.000796207
8,3,.000932998
8,4,.000693832
8,5,.000864415
16,1,.000888623
16,2,.000918373
16,3,.000763124
16,4,.000807707
16,5,.000882790
32,1,.000824498
32,2,.000781707
32,3,.000874999
32,4,.000865539
32,5,.000940289
