thread_total,run_index,total_time_seconds
1,1,.000878915
1,2,.001041873
1,3,.000881623
1,4,.001379789
1,5,.001157831
2,1,.001311997
2,2,.001360289
2,3,.000697790
2,4,.000606624
2,5,.001027873
4,1,.000899498
4,2,.001963580
4,3,.000909665
4,4,.001117497
4,5,.001049164
8,1,.001110206
8,2,.000843040
8,3,.001380789
8,4,.000922582
8,5,.000916915
16,1,.000787665
16,2,.000727915
16,3,.000859540
16,4,.001121915
16,5,.000906248
32,1,.001397372
32,2,.001144206
32,3,.001050039
32,4,.001106873
32,5,.000944081
