thread_total,run_index,total_time_seconds
2,1,.004352804
2,2,.004340096
2,3,.002835356
2,4,.003607642
2,5,.004385387
4,1,.005042216
4,2,.004547177
4,3,.006009750
4,4,.005460254
4,5,.003956848
8,1,.007190118
8,2,.005287214
8,3,.005934251
8,4,.005083132
8,5,.006858120
16,1,.006082917
16,2,.004975758
16,3,.005408671
16,4,.006571872
16,5,.006170958
32,1,.008034821
32,2,.010406763
32,3,.008175694
32,4,.008972647
32,5,.008890523
