thread_total,run_index,total_time_seconds
2,1,.629314262
2,2,.609287515
2,3,.570852516
2,4,.588171564
2,5,.856540531
4,1,1.218804657
4,2,1.140813119
4,3,1.162755126
4,4,1.104605834
4,5,1.076743008
8,1,1.658779508
8,2,1.717233379
8,3,1.709034614
8,4,1.723388237
8,5,1.720169646
16,1,.301191583
16,2,.310308979
16,3,.352897813
16,4,.294348336
16,5,.341502181
32,1,.167049947
32,2,.183630543
32,3,.175994846
32,4,.176120637
32,5,.183265296
