thread_total,run_index,total_time_seconds
2,1,.001470824
2,2,.001340158
2,3,.002192611
2,4,.001564406
2,5,.001822613
4,1,.001166159
4,2,.001651905
4,3,.002161652
4,4,.000767161
4,5,.001466240
8,1,.001874155
8,2,.001505073
8,3,.001387033
8,4,.002011445
8,5,.000723329
16,1,.001410657
16,2,.001185408
16,3,.000832203
16,4,.002303318
16,5,.001057910
32,1,.001440157
32,2,.000953785
32,3,.000985535
32,4,.001641198
32,5,.000900369
