run_1, run_2, run_3, run_4, run_5
0.582947,0.505054,0.446633,0.544016,0.512598
0.264694,0.236763,0.234094,0.398749,0.256934
0.178651,0.177337,0.274674,0.168686,0.178118
0.217796,0.193916,0.201773,0.191862,0.223299
0.609772,0.785925,0.799061,0.790613,0.843294
