run_1, run_2, run_3, run_4, run_5
1.144398,0.436422,2.816198,3.367706,2.315864
0.276773,0.320477,0.269531,0.354234,0.301008
0.276166,0.270447,0.454686,0.378945,0.240016
0.415429,0.360545,0.443561,0.515707,0.484979
1.259377,1.398221,0.952469,1.069449,1.287602
